gene_upper	bulk_log2FC	bulk_FDR	pseudobulk_logFC	pseudobulk_FDR	CellType	both_fdr05	core_gene	locked33
EIF6	0.168255910915434	0.0090276297876495	1.13810403554082	8.35617372197634e-10	Cap	True	False	False
EIPR1	0.0065023468100374	0.974705198556034	-0.391442846147304	0.317735620642371	Cap	False	False	False
ELAVL1	-0.0862523358294738	0.264884615270139	0.0310948092112331	0.883669151814399	Cap	False	False	False
ELF1	-0.255947540194249	3.31690507070955e-05	-0.547674520000487	0.0007632394370378	Cap	True	False	False
ELF2	-0.568587020692358	1.6256597933047098e-34	-0.611251599415733	2.84159912134036e-05	Cap	True	False	False
ELF4	0.574417242703598	1.9623245787204302e-20	1.17154422495587	2.02083620708322e-05	Cap	True	False	False
ELK3	-0.346363746379768	5.53564905815326e-10	-0.58577665416962	1.4808958008774e-05	Cap	True	False	False
ELK4	-0.318950058953154	0.0003960381547797	-0.453414713981829	0.0047234140135243	Cap	True	False	False
ELL	0.0122535103484791	0.937201485316632	-0.611366284517221	0.083248269166329	Cap	False	False	False
ELMO1	0.420599162163887	5.8293510642659596e-18	0.517275899240233	0.0003610028435823	Cap	True	False	False
ELMO2	0.018155243142518	0.88529797766645	-0.939570732456529	0.0001934011630763	Cap	False	False	False
ELMOD2	-0.252697193514809	0.0329709319774894	-0.501498616838892	0.150514480247116	Cap	False	False	False
ELMSAN1	0.0739305908343595	0.608898634266721	-0.582817254425522	0.0061436216574515	Cap	False	False	False
ELN	0.0251869911615542	0.904542476291556	-0.924934591609594	0.0003412765071643	Cap	False	False	False
ELOA	0.0332985033076157	0.737565523966896	0.122578793458382	0.641440406451976	Cap	False	False	False
ELOB	0.136220188123925	0.229065504694403	0.782388236883052	4.31069739750066e-08	Cap	False	False	False
ELOC	0.0303922696097341	0.831120738048829	0.542813797996845	0.0012873504480687	Cap	False	False	False
ELOF1	-0.064697150480829	0.722022819296695	0.23358421654993	0.242169559688592	Cap	False	False	False
ELOVL1	-0.0261277023041171	0.779770596952379	0.164076083232251	0.318294833051765	Cap	False	False	False
ELOVL5	-0.178460607987649	0.001906016775863	-0.632430578138434	0.0003609006199505	Cap	True	False	False
ELP2	0.0295833615259367	0.736930826026346	-0.158021831017852	0.610119776899639	Cap	False	False	False
ELP3	-0.0940219760142639	0.253716975418981	-0.248937151835346	0.279733407965882	Cap	False	False	False
ELP4	0.0107284715396938	0.956064654005429	0.38835047476889	0.182701817891012	Cap	False	False	False
ELP5	0.229737719721098	0.0092859574118386	0.807918521172109	3.03040533911852e-05	Cap	True	False	False
