tf	median_ulm_score	mean_abs_ulm_score	significant_contrasts	direction_consistency	median_fdr	n_targets	median_beta	median_rescue_198	median_rescue_33	positive_rescue_contrasts_33	suggested_intervention	priority_score	external_JCI_hyperoxia_vs_room_air_ulm	external_JCI_hyperoxia_vs_room_air_fdr	external_JCI_p53_EC_deletion_vs_control_hyperoxia_ulm	external_JCI_p53_EC_deletion_vs_control_hyperoxia_fdr	external_JCI_p53_null_vs_control_hyperoxia_ulm	external_JCI_p53_null_vs_control_hyperoxia_fdr	external_hyperoxia_direction_match	network_evidence_class
Ncor1	4.735611692268677	4.543216344837106	6	1.0	0.00013239267636322438	83	0.036047231086240916	0.00540450010644733	0.008873988068643202	6	inhibit	0.08063289527469851	2.1637107377094824	0.07664279639720917	0.8539452074764723	0.8117617964744568	-0.621019938112925	0.7799776792526245	True	moderate
Dnmt3a	-3.8266416094408906	3.9432254900959016	6	1.0	0.0016649115132167935	61	-0.031286895570568046	0.005482116910605794	0.009677514473441728	6	activate	0.07632124350489489	-0.7336367317206044	0.5772362351417542	0.34148438453347335	0.9131598472595215	1.140176194868538	0.5973057150840759	True	moderate
Ctcf	4.275163660539295	4.02160570508726	5	1.0	0.0009442054060855298	140	0.026017683585526828	0.006080752908289133	0.010163947072219681	6	inhibit	0.07493821047504665	0.214454578775639	0.8698574304580688	0.38211339308404674	0.9073979258537292	-0.8498947819023979	0.6874080896377563	True	moderate
Hmga1	3.6671285961303415	3.318562429015779	4	1.0	0.0016489221598021686	77	0.024776170269863625	0.006567388367738347	0.01239995477587924	6	inhibit	0.06858337340121269	2.668182133408413	0.026748165488243103	-1.5494710356055161	0.4695402979850769	-3.958199878541256	0.006267359014600515	True	moderate
Hmga1b	3.6671285961303415	3.318562429015779	4	1.0	0.0016489221598021686	77	0.024776170269863625	0.006567388367738347	0.01239995477587924	6	inhibit	0.06858337340121269	2.668182133408413	0.026748165488243103	-1.5494710356055161	0.4695402979850769	-3.958199878541256	0.006267359014600515	True	moderate
Foxm1	3.9582602976283034	4.009933744660156	6	1.0	0.00568172316889104	92	0.028998928363168947	0.00466082117527028	0.007434180326564177	6	inhibit	0.059621141110756705	2.305780166335774	0.05798481032252312	0.6276998442511489	0.8557642102241516	0.28056119086725756	0.9219746589660645	True	moderate
Ncor2	3.5064482349755193	4.10628096402843	5	1.0	0.003069427388254553	63	0.03474215955330638	0.004524037794955138	0.007770108778588636	6	inhibit	0.058494791237572646	2.692142404190445	0.026301082223653793	-0.8189537646959887	0.8203834295272827	-2.700165252038089	0.0952240377664566	True	moderate
Ep300	3.7237978812182786	3.7004579244569986	5	1.0	0.0017940863181138411	69	0.036017773395215565	0.005255106146067889	0.0078827942702277	6	inhibit	0.05347823896090191	4.068581263293024	0.0005070273764431477	-1.0027840745545415	0.741795539855957	-3.101526452321533	0.04510498046875	True	moderate
Nr2f2	3.7588185675171206	3.621795505410739	4	1.0	0.0012188787222839892	74	0.027408588478916446	0.004413432528639183	0.008432284927638645	6	inhibit	0.05090001941877393	2.9431111156670924	0.013402874581515789	0.26192444387696406	0.9410383701324463	0.5296700913467305	0.8007882237434387	True	moderate
Ncoa1	3.8461135454914404	3.496618776182681	5	1.0	0.0035651389916893095	83	0.02992488881498575	0.0057875358305053415	0.007934218360800271	6	inhibit	0.050862050973630606	2.6418279152891584	0.028615156188607216	-0.8558749784855539	0.8117617964744568	-1.5434631058945767	0.4236944615840912	True	moderate
Stat1	4.390499988265971	3.992005500646855	4	1.0	8.374329991056584e-05	288	0.01747783095458221	0.006208002469337781	0.00714275182007984	6	inhibit	0.047523174259190094	0.9271456707166644	0.4694618880748749	1.6784454233023283	0.4038948118686676	-0.3239420298589147	0.9023197293281555	True	moderate
Gata1	3.711819080376814	3.8638835191125125	6	1.0	0.001429026509867981	134	0.02239898204652384	0.004892749639007654	0.006122670114737272	6	inhibit	0.047314568298592125	0.9313663889775176	0.4694618880748749	3.5701913337600097	0.009839956648647785	1.0685297887029432	0.6095371246337891	True	moderate
Sox9	3.548745865583068	3.511799266960345	5	1.0	0.002195577370002866	93	0.021651368844144037	0.004244661240052405	0.007138046089352201	6	inhibit	0.045956872544213066	1.853988426272186	0.1353764832019806	-2.5097377022565177	0.10761437565088272	-1.130993661072365	0.5973057150840759	True	moderate
Ahr	3.220010300766221	3.320973551189653	5	1.0	0.008221830357797444	186	0.017714535189809366	0.00509729995205116	0.007531117859108649	6	inhibit	0.04585284590515176	1.5943904573647387	0.20495928823947906	-0.19018319418148102	0.9410383701324463	-2.04110479513111	0.2771293520927429	True	moderate
Mycn	2.813093703312497	3.4106630934540405	5	1.0	0.02265898371115327	134	0.020725131134725232	0.004055809834311475	0.007299535428321402	6	inhibit	0.04564313615534941	1.1858468575217473	0.3541174829006195	0.6947395822814876	0.8473027944564819	0.6429556786150395	0.778043270111084	True	moderate
Mycs	2.813093703312497	3.4106630934540405	5	1.0	0.02265898371115327	134	0.020725131134725232	0.004055809834311475	0.007299535428321402	6	inhibit	0.04564313615534941	1.1858468575217473	0.3541174829006195	0.6947395822814876	0.8473027944564819	0.6429556786150395	0.778043270111084	True	moderate
Nfic	-3.8301074911821895	3.5260381658417597	5	1.0	0.000949304667301476	78	-0.025846854471294263	0.0034252831130580086	0.0066829796176798295	6	activate	0.04320147552138303	-0.02975031423981555	0.9822379946708679	0.518391627614397	0.8718500137329102	2.338169495788268	0.1877625286579132	True	moderate
Usf1	4.318882043455593	3.5809229980852586	4	1.0	0.0001797986769815907	212	0.01778866557133081	0.005538346757360035	0.006983630961218845	6	inhibit	0.0416797411986147	1.2895537396991876	0.31388524174690247	2.8614982749375546	0.060476623475551605	1.3654784505594448	0.5148634314537048	True	moderate
Arnt	3.8783765464574116	3.8398269226583275	5	1.0	0.00172837351783528	65	0.03559867940719451	0.005325854695728494	0.0051963653213511485	6	inhibit	0.036580763011635764	3.250575994930182	0.005679850000888109	0.2883584928803556	0.9410383701324463	-0.9254084614394104	0.6751274466514587	True	moderate
Mbd2	3.8520972957251747	3.4591471139773606	5	1.0	0.0013020057667745277	86	0.027994982255205206	0.003306910401810137	0.005342217680745942	6	inhibit	0.03387911426641712	4.16374088952433	0.000371892616385594	-0.47308593048652736	0.8794050216674805	-1.6792608677260985	0.37831735610961914	True	moderate
Pax5	3.5396337042061115	2.7908692362622394	4	1.0	0.0015922781312838197	70	0.020140688208038902	0.004453045939052214	0.007194378412296587	6	inhibit	0.03346428230817953	1.3595152962072492	0.2921105921268463	0.23551589143202753	0.9410383701324463	-2.8354942414790116	0.0794355645775795	True	moderate
Ncoa3	3.1638089520520385	2.98062380856712	4	1.0	0.0064089728984981775	72	0.025280076495138838	0.00408444239843625	0.006720493881800127	6	inhibit	0.0333854401157052	2.9450659063671196	0.013402874581515789	1.4236775731733011	0.5410318374633789	-0.6777390151089796	0.7655516862869263	True	moderate
Fli1	3.374081301304765	3.074151111527021	4	1.0	0.005196215817704797	95	0.017802101837925965	0.004295764626372711	0.0064826964354806615	6	inhibit	0.03321464742137522	1.9375472701234633	0.11562191694974899	0.08569587014366821	0.9843567609786987	-1.1036601200592089	0.5991236567497253	True	moderate
Kat7	3.2927380057062754	2.9806912687834277	4	1.0	0.01565778534859419	80	0.027575006770442743	0.0039123026144003425	0.006544495199539813	6	inhibit	0.03251186616643896	4.019772699350083	0.000569095544051379	1.8857698486329517	0.31501084566116333	-0.9157622764144129	0.6755861639976501	True	moderate
Bmal1	3.657018607161641	3.633625001848267	4	1.0	0.0013559004291892052	57	0.0404599393568438	0.004439564978984567	0.005038957426864998	6	inhibit	0.030516136149176115	2.950159044363208	0.013402874581515789	0.2108889423896195	0.9410383701324463	-0.8080345170402435	0.7034822106361389	True	moderate
Nr2f1	3.170282471562711	2.9269609559651104	4	1.0	0.007666442543268204	102	0.017921775825463823	0.0028999277913987487	0.005853196581188214	6	inhibit	0.028553463101210614	2.0606353800033643	0.09318865090608597	0.16101386180162972	0.9477235078811646	0.8684670304463079	0.6874080896377563	True	moderate
Myc	5.212967260084419	6.223818854012641	5	1.0	0.00017463880770129947	852	0.010285537582758051	0.0020658664982904917	0.0023498804018456942	6	inhibit	0.026812921574417063	-0.8633046170882295	0.5037218332290649	5.957811541671688	8.782134841567313e-07	6.191987848422962	2.0553028434733278e-07	False	moderate
Ddit3	4.075420919020252	3.922026668341734	4	1.0	0.0006114385469118133	98	0.03048803897852637	0.002497770451851511	0.004007342900135158	6	inhibit	0.026194842872533326	0.1427862791428018	0.9171265363693237	1.0267225289653417	0.7314451336860657	-0.7520785495634315	0.7398848533630371	True	moderate
Sirt1	-2.79826134240393	2.71251853074484	4	0.8333333333333334	0.026161581045016646	65	-0.03183310193034132	0.004320499066815531	0.006418175541527293	5	activate	0.024179750124952885	-0.7788394394259048	0.547619640827179	1.5324283908933147	0.4757004976272583	2.419456191147536	0.16474126279354095	True	moderate
Cux1	-3.1486874544230297	3.1367700682425315	4	1.0	0.013695980014745146	111	-0.017440425672057284	0.0013089115580891542	0.003737711267843058	6	activate	0.019540568047838245	0.2262294947547758	0.8685483336448669	-0.7561574138054429	0.8263194561004639	0.8358745062321351	0.6874080896377563	False	moderate
Ybx1	3.1847785304187006	2.990057873393979	5	1.0	0.007710836944170296	94	0.021000367136802214	0.0020931312993150986	0.003508593651998404	6	inhibit	0.019233313135112933	1.2833787126446028	0.31388524174690247	-0.6535097953004626	0.8557642102241516	-0.8536764477003838	0.6874080896377563	True	moderate
Tcf4	2.0824460409398147	2.169282140074184	3	1.0	0.09107531420886517	52	0.022108237010127815	0.003120482506656197	0.005741898508270837	6	inhibit	0.01868369682616579	3.4122770248262184	0.0034362266305834055	0.21531562133332793	0.9410383701324463	-0.8928181756814193	0.6874080896377563	True	moderate
Stat5b	2.6384070670700424	2.432542331054838	3	1.0	0.034019455313682556	94	0.02003785338375235	0.0025487143525503853	0.005088956487084795	6	inhibit	0.01856865311359483	1.0292787332423652	0.4285012483596802	-0.7088989027214345	0.8473027944564819	-1.7513462924371672	0.37022852897644043	True	moderate
Mta1	-2.2591314948130767	2.216165786515437	3	1.0	0.14180418942123652	51	-0.013149191331077292	0.0030848913413333845	0.004692149444306293	6	activate	0.015597871595533538	-0.8616780942923425	0.5037218332290649	1.0524176359764386	0.7293859124183655	1.6489248953449347	0.3853083550930023	True	moderate
Pgr	2.2908686393608866	2.5003648994121224	3	1.0	0.049850985407829285	122	0.015913779917907534	0.003865936514932722	0.0041454774702893715	6	inhibit	0.015547809537022955	2.3188613852317927	0.05725134164094925	-0.43779184724396325	0.8920073509216309	-0.7238945147715404	0.7456579804420471	True	moderate
Lef1	2.255781291382852	1.9657617173551796	3	1.0	0.05558769591152668	107	0.013953727400599227	0.0029264605419663248	0.004805819016684865	6	inhibit	0.01417064256530493	3.0041975273347323	0.011564466170966625	0.6161694275221659	0.8557642102241516	-0.041984723586137744	0.9878000617027283	True	moderate
Myod1	2.590081278196121	2.302504956793317	3	1.0	0.046838127076625824	140	0.01152808997549102	0.0019509785694115656	0.003961914397880073	6	inhibit	0.013683491309264516	1.6199271870413188	0.19783218204975128	0.06285987397325485	0.9843567609786987	-1.406624617016832	0.4952978789806366	True	moderate
Hdac1	-1.9881365152302597	2.0846194106833447	3	1.0	0.1620701039209962	79	-0.019258679541921057	0.001354484656859778	0.004247245635244756	6	activate	0.013280836039756997	-2.245298452666656	0.06469643861055374	1.5884219553220367	0.4458851218223572	2.2786644406511387	0.20758433640003204	True	moderate
Rela	4.294957957466106	3.29966998558961	4	0.8333333333333334	0.00016241179764620028	531	0.012534069984463235	0.0034027235633991015	0.0027307484313746078	5	inhibit	0.01251467866278153	2.0711966146039993	0.09148536622524261	2.65037397457924	0.08939037472009659	1.1858238754072874	0.5748103857040405	True	moderate
Mybl2	3.0780744073842343	3.0562827387096814	4	0.8333333333333334	0.018192617979366332	51	0.028234104794097974	0.0017403727662418933	0.002744078149698015	5	inhibit	0.01164816483693395	0.5708814110707808	0.6605055332183838	1.4771641825320105	0.5204517841339111	0.8432120014280936	0.6874080896377563	True	moderate
Brca1	2.1125875146543946	1.847576279231002	3	0.8333333333333334	0.09088078141212463	61	0.020461206618960393	0.002524852993235016	0.004883796020036302	5	inhibit	0.011278982099027309	0.4221210958789849	0.7404683828353882	0.58540656282264	0.8557642102241516	-1.3757679527158302	0.5099007487297058	True	moderate
Cebpg	2.632783507130136	3.0067446611048614	3	1.0	0.03575192438438535	202	0.01784988893034134	0.0018581412888749038	0.0024672559240974667	6	inhibit	0.0111276128660391	3.72126827156199	0.0014423804823309183	1.432029210200675	0.5383438467979431	-2.8024204208684407	0.07966189086437225	True	moderate
