sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition	gene_upper	expression_mean	expression_sd	expression_z	evidence_column	expression_label
BPD+PH 2	BPD+PH	aCap	S100A6	1543	TRUE	13.7350145856864	13.6713613851339	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	S100A6	12.3630990353464	1.87462551968418	0.73183445756736	aCap | PH2	13.7
BPD+PH 2	BPD+PH	aCap	TINAGL1	16	TRUE	7.16915416391263	7.10307540752988	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	TINAGL1	6.31150961114199	1.58976904511092	0.539477451399743	aCap | PH2	7.2
BPD+PH 2	BPD+PH	aCap	ZFP36L2	6	TRUE	5.79632896419501	5.72634442926303	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZFP36L2	7.16877744721768	1.64612933226514	-0.833742802659451	aCap | PH2	5.8
BPD+PH 2	BPD+PH	aCap	ZMAT3	8	TRUE	6.1946294623787	6.12618115497568	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZMAT3	3.59743284190735	2.60191265428315	0.99818747420132	aCap | PH2	6.2
BPD 1	BPD	gCap	APLN	0	FALSE	-0.547612087878967	-0.681584195407886	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	APLN	4.03437994783013	4.09881393020016	-1.11788242007008	gCap | BPD1	-0.5
BPD 1	BPD	gCap	BAX	8	TRUE	4.86710562203613	5.01629808063025	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	BAX	6.41807329144802	1.87043116346741	-0.829203287298051	gCap | BPD1	4.9
BPD 1	BPD	gCap	CCN2	4	TRUE	3.90053594778725	4.04382711266305	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCN2	6.65460551508231	2.90061400295398	-0.949478132729939	gCap | BPD1	3.9
BPD 1	BPD	gCap	CCND1	72	TRUE	8.00665016963571	8.16130389604738	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCND1	8.79304663840677	0.892737258595532	-0.880882321421454	gCap | BPD1	8.0
BPD 1	BPD	gCap	CCNG1	5	TRUE	4.20918472519529	4.35480654970133	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCNG1	4.89387008883452	0.675264246543385	-1.01395174873255	gCap | BPD1	4.2
BPD 1	BPD	gCap	CDKN1A	9	TRUE	5.03326786963028	5.18313162101022	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CDKN1A	6.6200758167618	1.20696833961287	-1.31470552710644	gCap | BPD1	5.0
BPD 1	BPD	gCap	COL18A1	11	TRUE	5.31728381171316	5.4681297088967	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	COL18A1	6.93662263177089	1.43516114963181	-1.12833239700864	gCap | BPD1	5.3
BPD 1	BPD	gCap	ECM1	0	FALSE	-0.547612087878967	-0.681584195407886	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ECM1	1.66397911636824	2.61038585795843	-0.847227699117587	gCap | BPD1	-0.5
BPD 1	BPD	gCap	GDF15	3	TRUE	3.50736258169743	3.64685473251968	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	GDF15	5.1196678676931	4.51970591441627	-0.35672791914469	gCap | BPD1	3.5
