source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Cap	Cap	Bmp6	Bmpr1a	Bmp6–Bmpr1a	2	0	0	-0.5098059195826025	0.37012987012987014	0.4884853518574449	0.0	False
Cap	Cap-a	Col5a1	Sdc3	Col5a1–Sdc3	1	0	1	-0.509810966922049	0.004329004329004329	0.0137012987012987	0.0	False
Myeloid	Cap-a	Nucb2	Erap1	Nucb2–Erap1	1	0	1	-0.509885038193421	0.0021645021645021645	0.009218054672600126	0.0	False
Epithelial	Cap	Entpd1	Adora2a	Entpd1–Adora2a	2	0	1	-0.5101564297602477	0.0021645021645021645	0.009397106958082567	0.0	False
Mural	Cap	Bmp5	Acvr2b	Bmp5–Acvr2b	2	0	1	-0.5102281631030159	0.0021645021645021645	0.0065581184984170055	0.0	False
Myeloid	Cap	Angptl3	Itgav	Angptl3–Itgav	2	0	1	-0.5109508833387274	0.049783549783549784	0.41066239696376683	0.0	False
Cap	Cap-a	Sema3c	Nrp1	Sema3c–Nrp1	1	0	1	-0.5111261807406553	0.0021645021645021645	0.007919825838900984	0.0	False
Mural	Cap	Hmmr	Has2	Hmmr–Has2	1	0	0	-0.5112470433133627	0.05411255411255411	0.3394753394753395	0.0	False
Epithelial	Cap	Rgmb	Neo1	Rgmb–Neo1	2	0	1	-0.511363257551363	0.006493506493506494	0.01984281812607993	0.0	False
Epithelial	Cap-a	Pecam1	Efnb2	Pecam1–Efnb2	1	0	1	-0.5114705199316285	0.0021645021645021645	0.00885967035035358	0.0	False
Cap	Cap	Dchs1	Fat4	Dchs1–Fat4	2	0	1	-0.5115610101615642	0.0021645021645021645	0.0073701298701298705	0.0	False
Cap	Cap	Fat4	Dchs1	Fat4–Dchs1	2	0	1	-0.5115610101615642	0.0021645021645021645	0.0073701298701298705	0.0	False
Cap	Cap	Vegfd	Itga5	Vegfd–Itga5	2	1	1	-0.5117151054214473	0.015151515151515152	0.03595185302502376	0.0	False
Mural	Cap	Pdap1	Pdgfrb	Pdap1–Pdgfrb	1	0	0	-0.5118006824847239	0.38961038961038963	0.51357733175915	0.0	False
